application_ref,document_link,document_meta
S/OUT/13/1555,https://pa.swindon.gov.uk/omt-server/omt.html#docKey=q46oSJq-GHBhFqvoxdqJI9USSFl4VznkxYnSW8kYhRZzQjYv4Tbi1RqCN8lcj-SRigvjd6tTtWY-a_ohUfiQAPj9R7qb3u8n, 09 Mar 2026 Revised Drawing 16-0492 SK07-1 NOISE ZONES
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/60D8577A462C3E19CCEBDF35415143C8/pdf/S_OUT_13_1555-MANOR_COTTAGES__OLD_VICARAGE_LANE__SOUTH_MARSTON__SWINDON-1208875.pdf," 29 Oct 2024 Public Comment MANOR COTTAGES, OLD VICARAGE LANE, SOUTH MARSTON, SWINDON"
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/1695D0FE987B794F3B7DD29FAD8AEBA3/pdf/S_OUT_13_1555-THE_CHEESE_ROOM__MORSES_LANE__SOUTH_MARSTON__SWINDON-1200474.pdf," 07 Oct 2024 Public Comment THE CHEESE ROOM, MORSES LANE, SOUTH MARSTON, SWINDON"
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/8021ECB6FB43FDA1BBC1A23D08E1FBDE/pdf/S_OUT_13_1555-PIGEON_FARM__CHAPEL_LANE__SOUTH_MARSTON__SWINDON-1188147.pdf," 10 Sep 2024 Public Comment PIGEON FARM, CHAPEL LANE, SOUTH MARSTON, SWINDON"
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/EED317094D4CEC3F2EE4B89CFE6F2D66/pdf/S_OUT_13_1555-32_WINDRUSH__HIGHWORTH__SWINDON-1156878.pdf," 28 May 2024 Public Comment 32 WINDRUSH, HIGHWORTH, SWINDON"
S/OUT/13/1555,https://pa.swindon.gov.uk/omt-server/omt.html#docKey=q46oSJq-GHBhFqvoxdqJI9USSFl4VznkxYnSW8kYhRZzQjYv4Tbi1TsKaMdGuKjprFTOR3ak4ow-r18n3gnKhWXMDHr1zeQR," 17 Apr 2024 Revised Drawing PROPOSED LAYOUT, TEMPORARY WORKS"
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/FD4111C3C97265B3FF5757A6CC6BD5D8/pdf/S_OUT_13_1555-PLANNING_OBLIGATION_S106_NOISE_REDACTED-958565.pdf, 01 Feb 2022 Application Form PLANNING OBLIGATION S106 NOISE_REDACTED
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/9A1DE414AF15E5CAC9BFB0193EAA7800/pdf/S_OUT_13_1555-LAND_NORTH_OF_A420_S106_-_PARTS_1_AND_2_REDACTED-958560.pdf, 01 Feb 2022 Section 106 LAND NORTH OF A420 S106 - PARTS 1 AND 2_REDACTED
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/7651F6A22E57CAC269FE7DA17486E26A/pdf/S_OUT_13_1555-LAND_NORTH_OF_A420_S278-930097.pdf, 06 Oct 2021 Supporting Documents LAND NORTH OF A420 S278
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/34CC566F8EB80B63A7EFC7DD2BC9FDA0/pdf/S_OUT_13_1555--918114.pdf, 11 Aug 2021 Decision
S/OUT/13/1555,https://pa.swindon.gov.uk/publicaccess/files/1DF4704CD4A22706830B5E29C7EA01F7/pdf/S_OUT_13_1555-HIGHWAYS_ENGLAND-831890.pdf, 14 May 2020 Consultee Comment HIGHWAYS ENGLAND
